Category,Name,Description,Price (USD),Image URL
Most Ordered,Always On My Mind - Long Stemmed Roses,"A dozen gorgeous red roses are the perfect romantic gift to send to the one who&apos;s always on your mind and in your heart.
Say &quot;I love you&quot; by sending this lovely arrangement of twelve radiant red roses and fresh greens and baby’s breath. delivered in a beautiful spring garden vase. Love always.",94.99,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/38129fda-df60-49b0-89f4-9d8e4f1a7ac4-retina-large.PNG"
Most Ordered,Cotton Candy,"What a sweet way to celebrate the arrival of sugar and spice and everything nice! This pretty arrangement will delight any new mom or mom-to-be, that&apos;s for sure! Feminine flowers fill a charming ribbon-wrapped vase. It&apos;s a beautiful thing!
Pretty pink roses, spray roses and miniature carnations, white button spray chrysanthemums, lavender limonium and green pittosporum fill a spring glass vase that&apos;s wrapped with a pink satin ribbon. It&apos;s confection perfection!",84.99,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/80b88d45-70ff-4a76-a9c0-fba9d97a1c71-retina-large.PNG"
Most Ordered,Mixed Bouquet,"Brighten up someone&apos;s day by sending them a beautiful bouquet of mixed flowers according to availability, wrapped in colored tissue paper and plastic. Ready to surprise your favorite person.",45.00,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/15e3c8f1-5f5c-4a28-8264-357fa6117cb9-retina-large.jpg"
Most Ordered,Arrive in Style,"This beautiful bouquet will most certainly arrive in style! Ready for the runway, as it were. A delightful combination of light colors and lovely flowers, it&apos;s simply beautiful. Light pink roses, white Asiatic lilies, alstroemeria, cushion spray chrysanthemums and statice are delivered in a stylish vase. Style to spare!",79.99,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/c476b327-d3ec-43e4-9b21-9e3f551495aa-retina-large.PNG"
Most Ordered,Beautiful in Blue,"In this arrangement, the serenity of the color blue along with the purity of intention symbolized by white will let the family know you are sending your calm strength to them during these difficult times.
Beautiful blooms such as blue hydrangea, crème roses, white lilies and alstroemeria along with yellow and white chrysanthemums, eucalyptus, limonium and more are beautifully arranged in a dazzling cobalt blue vase.",74.99,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/fa3fbb14-f60a-4cef-8b79-a6a6741d240c-retina-large.PNG"
Most Ordered,Victorian Romance,"Romance blossoms beautifully within this elegant bouquet. The serenity and innocence of cream-colored roses is in delightful juxtaposition with lavender waxflower and fresh ivy greens. It&apos;s as romantic as a stroll through the English countryside.
A dozen crème roses, lavender waxflower and ivy are perfectly arranged in a serenity glass vase.",94.99,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/3c30fa94-ea5a-43b1-9ffd-26cc5b549128-retina-large.PNG"
Most Ordered,MEDIUM-STEM DOZEN ROSES,Dozen medium-stemmed red roses  with greens and baby’s breath in a vase.,35.00,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/913f97a7-ab11-4036-a459-de885516c229-retina-large.png"
Most Ordered,FERRERO ROCHER (12 CHOCOLATES),"Open the golden packaging and discover a delicious combination of textures and flavors.
(BOX WITH 12 CHOCOLATES)",15.00,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/fa0be240-449f-43a9-9e26-5d28394468e7-retina-large.jpg"
Most Ordered,Fly Away Birthday Bouquet,"Make birthday spirits soar by sending this fabulously fun birthday bouquet and balloon. Bright primary colors make it perfect for guys and girls. Years may fly by but that doesn&apos;t mean birthday celebrations need to!
Brilliant orange roses, yellow alstroemeria, red carnations and miniature carnations, yellow daisy spray chrysanthemums, purple statice and a big bright balloon are all delivered in a beautiful cobalt blue vase. It&apos;s a thumbs-way-up choice in birthday gifts!",84.99,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/126664e6-9e26-4cec-9aae-ce3b50e88a45-retina-large.JPG"
Most Ordered,Glorious Gratitude Purple Orchid,"Show your gratitude for a special someone with this glorious living gift. Simply presented in a clear glass cylinder, these alluring purple phalaenopsis orchids add natural elegance to any environment.
A purple phalaenopsis orchid is arranged with natural river rocks and sheet moss. Delivered in a cylinder vase.",89.99,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/703130bf-aa32-44b6-8945-93fcc3a35e79-retina-large.JPG"
